idx,tag,num_faces,maxIoU,meanCov,maxCov,anyCover,score,overlap,area,face_inside_penalty,face_conflict_penalty,svg_penalty
0,improved_top,1,0.16404621303081512,0.0,0.0,0.0,0.22607510909438133,0.022607510909438133,0.17865635454654694,0.0,0.0,0.0
1,improved_top,1,0.18442952632904053,0.0,0.0,0.0,0.4002921069040896,0.03360413992777467,0.21074000000953674,0.0,0.0,0.0
2,improved_top,1,0.18490144610404968,0.0,0.0,0.0,0.2599446102976799,0.02599446102976799,0.18771731853485107,0.0,0.0,0.0
3,improved_top,1,0.16762255132198334,0.0,0.0,0.0,0.42419836185872556,0.03895436134189367,0.3305695652961731,0.0,0.0,0.0
4,improved_top,1,0.1338900625705719,0.0,0.0,0.0,0.1879078522324562,0.01879078522324562,0.18964476883411407,0.0,0.0,0.0
5,improved_top,1,0.17436903715133667,0.0,0.0,0.0,0.2574278227984905,0.025742782279849052,0.2138243168592453,0.0,0.0,0.0
6,improved_top,1,0.16157381236553192,0.0,0.0,0.0,0.3569417186081411,0.02338368631899357,0.20949766039848328,0.0,0.0,0.0
7,improved_top,1,0.16571961343288422,0.0,0.0,0.0,0.5722511183470489,0.03305192571133375,0.19870053231716156,0.0,0.0,0.0
8,improved_top,1,0.21551334857940674,0.0,0.0,0.0,0.2595805749297142,0.02595805749297142,0.17079022526741028,0.0,0.0,0.0
9,improved_top,1,0.2093830406665802,0.0,0.0,0.0,0.32174792140722275,0.032174792140722275,0.2226617932319641,0.0,0.0,0.0
10,improved_top,1,0.13859260082244873,0.0,0.0,0.0,0.4259647727012636,0.01863972842693329,0.19034041464328766,0.0,0.0,0.0
11,improved_top,1,0.15873901546001434,0.0,0.0,0.0,0.26848824471235266,0.021106820553541183,0.19726650416851044,0.0,0.0,0.0
12,improved_top,1,0.18620598316192627,0.0,0.0,0.0,1.8721418343484406,0.029417579993605614,0.23093374073505402,0.0,0.0,0.0
13,improved_top,1,0.16010384261608124,0.0,0.0,0.0,0.3190931770950556,0.03190931770950556,0.21623747050762177,0.0,0.0,0.0
14,improved_top,1,0.15950071811676025,0.0,0.0,0.0,0.1821669563651085,0.01821669563651085,0.1584755927324295,0.0,0.0,0.0
15,improved_top,1,0.2176709622144699,0.0,0.0,0.0,0.5499300077557565,0.01724078878760338,0.15196436643600464,0.0,0.0,0.0
16,improved_top,1,0.15082763135433197,0.0,0.0,0.0,0.9953147014603023,0.01683314284309745,0.11416938155889511,0.0,0.0,0.0
17,improved_top,1,0.19013436138629913,0.0,0.0,0.0,0.12928500957787054,0.011055921204388142,0.1341979205608368,0.0,0.0,0.0
18,improved_top,1,0.18974918127059937,0.0,0.0,0.0,0.45199361126869925,0.03502481756731868,0.24264448881149292,0.0,0.0,0.0
19,improved_top,1,0.16319452226161957,0.0,0.0,0.0,0.25069858878850937,0.025069858878850937,0.2192447930574417,0.0,0.0,0.0
20,improved_top,1,0.1767122447490692,0.0,0.0,0.0,0.5165445776656272,0.03371859760954976,0.24736188352108002,0.0,0.0,0.0
21,improved_top,1,0.17802730202674866,0.0,0.0,0.0,0.3076054267585279,0.022240756079554558,0.1898006796836853,0.0,0.0,0.0
22,improved_top,1,0.14102886617183685,0.0,0.0,0.0,0.1699673943221569,0.01699673943221569,0.15341585874557495,0.0,0.0,0.0
23,improved_top,1,0.19257760047912598,0.0,0.0,0.0,0.24162005633115768,0.02416200563311577,0.16648878157138824,0.0,0.0,0.0
24,improved_top,1,0.20229768753051758,0.48521554470062256,0.48521554470062256,1.0,0.6442308984696865,0.0473844800144434,0.16519583761692047,0.0,0.008519304916262627,0.0
25,improved_top,1,0.15809690952301025,0.0,0.0,0.0,0.21873313933610916,0.021873313933610916,0.18889345228672028,0.0,0.0,0.0
26,improved_top,1,0.13965389132499695,0.0,0.0,0.0,0.22229503840208054,0.022229503840208054,0.22264932096004486,0.0,0.0,0.0
27,improved_top,1,0.14401830732822418,0.0,0.0,0.0,0.22510833293199556,0.019771341234445572,0.17944134771823883,0.0,0.0,0.0
28,improved_top,1,0.22857563197612762,0.0,0.0,0.0,1.5528572961688045,0.039067935198545456,0.2778596580028534,0.0,0.0,0.0
29,improved_top,1,0.16419196128845215,0.0,0.0,0.0,0.3463947009295229,0.028179789893329144,0.18579453229904175,0.0,0.0,0.0
30,improved_top,1,0.1891755759716034,0.0,0.0,0.0,0.25135017931461334,0.025135017931461334,0.18865667283535004,0.0,0.0,0.0
31,improved_top,1,0.17503485083580017,0.0,0.0,0.0,0.21611114963889122,0.021611114963889122,0.16603367030620575,0.0,0.0,0.0
32,improved_top,1,0.18249504268169403,0.0,0.0,0.0,2.560500211175531,0.037532068556174636,0.2838174104690552,0.0,0.0,0.0
33,improved_top,1,0.1659848690032959,0.0,0.0,0.0,0.6517517091706395,0.04863770725205541,0.23037981986999512,0.0,0.0,0.055124878883361816
34,improved_top,1,0.1472175568342209,0.0,0.0,0.0,0.17992766574025154,0.017992766574025154,0.1683916449546814,0.0,0.0,0.0
35,improved_top,1,0.18930110335350037,0.0,0.0,0.0,0.7951696311356502,0.031949756492394954,0.22931572794914246,0.0,0.0,0.0
36,improved_top,1,0.22770485281944275,0.0,0.0,0.0,0.23066716268658638,0.023066716268658638,0.1430405080318451,0.0,0.0,0.0
37,improved_top,1,0.16460710763931274,0.0,0.0,0.0,0.19142597913742065,0.019142597913742065,0.11888937652111053,0.0,0.0,0.0
38,improved_top,1,0.1813240349292755,0.0,0.0,0.0,0.39125571146723814,0.020749864474055357,0.15974053740501404,0.0,0.0,0.06125235557556152
39,improved_top,1,0.1511184275150299,0.0,0.0,0.0,0.5843248358927666,0.02181083313189447,0.17308160662651062,0.0,0.0,0.0
40,improved_top,1,0.2516561448574066,0.0,0.0,0.0,1.197098083421588,0.04508140217512846,0.24862508475780487,0.0,0.0,0.0
41,improved_top,1,0.15753598511219025,0.0,0.0,0.0,0.28234332054853456,0.018038947135210037,0.17090189456939697,0.0,0.0,0.0
42,improved_top,1,0.23564979434013367,0.0,0.0,0.0,0.5641002506017687,0.044380612671375275,0.25148358941078186,0.0,0.0,0.0
