global_idx,faces,with_face_loss_maxIoU,with_face_loss_meanCov,with_face_loss_maxCov,baseline_maxIoU,baseline_meanCov,baseline_maxCov
0,1,0.17555131018161774,1.0,1.0,0.001527956104837358,0.0,0.0
1,1,0.005121156573295593,0.0,0.0,0.038039304316043854,1.0,1.0
2,0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.047643955796957016,0.3333333432674408,1.0
4,0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,0.0,0.0,0.0,0.0039947861805558205,0.0,0.0
9,0,0.0,0.0,0.0,0.0,0.0,0.0
10,2,0.0,0.0,0.0,0.09019044041633606,1.0,1.0
11,1,0.0,0.0,0.0,0.0,0.0,0.0
12,0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0.0,0.0,0.0,0.0,0.0,0.0
14,1,0.027018701657652855,0.6782757639884949,0.6782757639884949,0.06710173189640045,1.0,1.0
